"ID","Total_Count","OpCodes_List","min_depth","max_depth","frequency"
"Acanthephyridae",7,"NC2_CR4_4100, NC2_MA2_3600, NC2_OM1_3100, NC2_OM3_3900, NC3_OM4_5650, NC4_CR4_5100","3100","5630",6
"Acanthephyridae.Heterogenys.sp1",37,"NC1_OM2_6000, NC2_CR2_3500, NC2_CR3_3800, NC2_CR4_4100, NC2_CR6_5800, NC2_CR7_5100, NC2_CR8_4400, NC2_MA5_5400, NC2_MA6_5700, NC2_MA8_4500, NC2_OM1_3100, NC2_OM2_3400, NC2_OM4_4000, NC2_OM8_4300, NC3_CR10_5400, NC3_MA10_5200, NC3_MA9_3700, NC3_OM4_5650, NC4_CR11_3900, NC4_CR1_5200, NC4_CR9_5650, NC4_MA10_3800, NC4_MA3_4550, NC4_MA5_6000, NC4_OM3_4400","3100","6006",25
"Acanthephyridae.Heterogenys.sp2",3,"NC2_OM2_3400, NC4_MA9_5700, NC4_OM6_5500","3387","5668",3
"Acanthephyridae.Hymenodora",4,"NC2_OM3_3900, NC3_CR1_4400, NC3_CR7_3200","3225","4337",3
"Acanthephyridae.Hymenodora.sp1",125,"NC2_CR2_3500, NC2_CR3_3800, NC2_CR4_4100, NC2_CR7_5100, NC2_CR8_4400, NC2_CR9_4700, NC2_MA1_3300, NC2_MA2_3600, NC2_MA8_4500, NC2_OM1_3100, NC2_OM2_3400, NC2_OM3_3900, NC2_OM4_4000, NC2_OM7_5000, NC2_OM8_4300, NC2_OM9_4900, NC3_CR1_4400, NC3_CR7_3200, NC3_MA10_5200, NC3_MA6_4200, NC3_MA7_3900, NC3_MA8_2800, NC3_MA9_3700, NC3_OM6_4600, NC3_OM7_3500, NC3_OM8_2700, NC4_CR10_5000, NC4_CR11_3900, NC4_CR1_5200, NC4_CR3_4400, NC4_CR6_5000, NC4_MA10_3800, NC4_MA1_5200, NC4_MA3_4550, NC4_OM11_4500, NC4_OM1_5200, NC4_OM3_4400","2751","5520",37
"Acanthephyridae.Hymenodora.sp2",9,"NC2_MA1_3300, NC2_MA2_3600, NC2_OM2_3400, NC3_CR7_3200","3225","3627",4
"Acanthephyridae.sp1",45,"NC2_CR1_3200, NC2_CR3_3800, NC2_MA3_3700, NC2_MA8_4500, NC2_OM2_3400, NC2_OM3_3900, NC2_OM4_4000, NC3_CR7_3200, NC3_MA7_3900, NC3_MA8_2800, NC3_MA9_3700, NC3_OM8_2700, NC4_CR11_3900, NC4_CR3_4400, NC4_MA10_3800","2751","4368",15
"Acanthephyridae.sp2",18,"NC2_CR3_3800, NC2_CR4_4100, NC2_CR5_5500, NC2_MA3_3700, NC2_OM3_3900, NC2_OM8_4300, NC2_OM9_4900, NC3_MA3_6100, NC3_MA5_6000, NC3_OM10_5200, NC3_OM5_5400, NC4_CR3_4400, NC4_CR6_5000","3712","6094",13
"Acanthephyridae.sp3",3,"NC3_MA3_6100, NC4_CR6_5000, NC4_MA5_6000","5023","6094",3
"Acrocirridae",46,"NC1_CR8_7000, NC2_CR4_4100, NC2_CR6_5800, NC2_CR7_5100, NC2_CR8_4400, NC2_MA6_5700, NC2_MA8_4500, NC2_OM5_5600, NC2_OM6_5900, NC2_OM9_4900, NC3_CR3_5500, NC3_MA10_5200, NC3_OM1_5600, NC3_OM3_6700, NC4_CR5_6900, NC4_MA11_5700, NC4_MA7_5600, NC4_MA8_5500, NC4_MA9_5700, NC4_OM5_6900, NC4_OM7_5500, NC4_OM9_5700","4095","7022",22
