"ID","Total_Count","OpCodes_List","min_depth","max_depth","frequency"
"Acanthephyridae.Heterogenys",2,"NC2_BK5_4600",4630,4630,1
"Acanthephyridae.Heterogenys.sp1",18,"NC2_BK2_3800, NC3_BK2_6000, NC4_BK2_4700, NC4_BK4_4700",3791,6014,4
"Acanthephyridae.Hymenodora.sp1",1,"NC4_BK2_4700",4734,4734,1
"Acrocirridae",746,"NC1_BK2_6700, NC2_BK3_7400, NC3_BK2_6000, NC3_BK3_6000, NC4_BK2_4700, NC4_BK3_6900",4734,7369,6
"Actinoscyphiidae.sp2",1,"NC2_BK5_4600",4630,4630,1
"Actinostolidae",199,"NC1_BK2_6700, NC4_BK3_6900",6682,6974,2
"Aeginidae",2,"NC1_BK2_6700, NC1_BK3_8000",6682,7989,2
"Aeginidae.Aeginura",1,"NC3_BK2_6000",6014,6014,1
"Aeginidae.sp1",1,"NC1_BK3_8000",7989,7989,1
"Amathillopsidae.Amathillopsis",6,"NC3_BK2_6000",6014,6014,1
"Amathillopsidae.Amathillopsis.sp1",30,"NC1_BK1_6200",6233,6233,1
"Annelida",149,"NC1_BK1_6200, NC1_BK2_6700, NC2_BK1_3200, NC2_BK2_3800, NC3_BK2_6000, NC3_BK4_8000",3273,7985,6
"Annelida.Polychaeta",160,"NC1_BK1_6200, NC1_BK2_6700, NC1_BK3_8000, NC2_BK1_3200, NC2_BK3_7400, NC2_BK4_5300, NC3_BK1_8000, NC3_BK2_6000, NC3_BK4_8000, NC4_BK1_5600, NC4_BK2_4700, NC4_BK3_6900, NC4_BK4_4700, NC4_BK6_4700",3273,8000,14
"Annelida.Polychaeta.Echiuroidea",91,"NC1_BK2_6700, NC2_BK3_7400, NC3_BK1_8000, NC3_BK4_8000, NC4_BK1_5600, NC4_BK3_6900",5500,8000,6
"Annelida.Polychaeta.Echiuroidea.sp1",35,"NC1_BK3_8000, NC3_BK4_8000",7985,7989,2
"Annelida.Polychaeta.Echiuroidea.sp2",4,"NC3_BK4_8000",7985,7985,1
"Antedonidae.sp1",3,"NC1_BK1_6200, NC2_BK4_5300",5272,6233,2
"Aphrocallistidae",2,"NC3_BK2_6000",6014,6014,1
"Aristeidae.Cerataspis.monstrosus",13,"NC2_BK1_3200, NC2_BK2_3800, NC3_BK2_6000, NC3_BK3_6000, NC4_BK2_4700, NC4_BK4_4700, NC4_BK6_4700",3273,6014,7
"Arthropoda",7,"NC1_BK2_6700, NC3_BK4_8000",6682,7985,2
"Arthropoda.Copepoda",5,"NC1_BK1_6200, NC1_BK2_6700, NC2_BK2_3800, NC4_BK6_4700",3791,6682,4
"Arthropoda.Malacostraca.Amphipoda",1173,"NC1_BK1_6200, NC1_BK2_6700, NC1_BK3_8000, NC2_BK1_3200, NC2_BK2_3800, NC2_BK3_7400, NC3_BK1_8000, NC3_BK2_6000, NC3_BK3_6000, NC3_BK4_8000, NC4_BK2_4700, NC4_BK3_6900, NC4_BK4_4700, NC4_BK6_4700",3273,8000,14
"Arthropoda.Malacostraca.Decapoda",8,"NC2_BK2_3800, NC2_BK4_5300, NC3_BK2_6000, NC4_BK2_4700, NC4_BK3_6900, NC4_BK4_4700",3791,6974,6
"Arthropoda.Malacostraca.Decapoda.Galatheoidea.sp1",2,"NC4_BK4_4700",4675,4675,1
"Arthropoda.Malacostraca.Decapoda.Nematocarcinidae?",1,"NC4_BK6_4700",4635,4635,1
"Arthropoda.Malacostraca.Decapoda.Paguroidea",3,"NC2_BK2_3800",3791,3791,1
"Arthropoda.Malacostraca.Isopoda.sp1",8,"NC2_BK3_7400, NC3_BK1_8000, NC3_BK4_8000",7369,8000,3
"Arthropoda.Thecostraca",1,"NC2_BK1_3200",3273,3273,1
"Aspidodiadematidae",1,"NC4_BK6_4700",4635,4635,1
"Ateleopodidae.Atelopus",1,"NC4_BK2_4700",4734,4734,1
"Bathycrinidae",8,"NC3_BK2_6000",6014,6014,1
"Bathycrinidae.Bathycrinus",17,"NC1_BK1_6200, NC2_BK3_7400, NC3_BK4_8000, NC4_BK3_6900",6233,7985,4
"Bathysauridae.Bathysaurus",1,"NC4_BK4_4700",4675,4675,1
"Bathysauridae.Bathysaurus.mollis",2,"NC2_BK2_3800, NC4_BK6_4700",3791,4635,2
"Benthesicymidae.Benthesicymus.crenatus",19,"NC1_BK1_6200, NC1_BK2_6700, NC2_BK3_7400, NC2_BK4_5300, NC2_BK5_4600, NC3_BK2_6000, NC3_BK4_8000, NC4_BK2_4700, NC4_BK3_6900",4630,7985,9
"Brachiopoda.Rhynchonellata",38,"NC1_BK2_6700, NC3_BK2_6000",6014,6682,2
